City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
hilo,90,US,1627242314,85,19.7297,-155.09,81.81,4.61
jamestown,40,US,1627242056,57,42.097,-79.2353,85.32,9.73
vaini,20,TO,1627242314,94,-21.2,-175.2,68.16,0.0
port alfred,58,ZA,1627242314,43,-33.5906,26.891,61.18,11.21
dikson,100,RU,1627242310,85,73.5069,80.5464,39.42,14.88
albany,60,US,1627242268,73,42.6001,-73.9662,84.85,1.01
te anau,100,NZ,1627242315,98,-45.4167,167.7167,44.53,1.57
lorengau,100,PG,1627242315,83,-2.0226,147.2712,78.66,8.66
katyuzhanka,58,UA,1627242315,73,50.806,30.1376,73.62,3.74
atuona,68,PF,1627242270,69,-9.8,-139.0333,77.97,22.95
coquimbo,0,CL,1627242107,63,-29.9533,-71.3436,60.53,12.66
beloha,61,MG,1627242316,67,-25.1667,45.05,62.35,11.34
praia da vitoria,75,PT,1627242316,88,38.7333,-27.0667,75.76,11.81
leningradskiy,100,RU,1627242316,90,69.3833,178.4167,37.8,4.65
new norfolk,47,AU,1627242317,67,-42.7826,147.0587,43.66,1.01
sitka,75,US,1627242317,77,57.0531,-135.33,57.09,0.0
bambous virieux,20,MU,1627242318,64,-20.3428,57.7575,70.05,12.66
bredasdorp,100,ZA,1627242318,87,-34.5322,20.0403,47.52,3.44
karratha,55,AU,1627242318,48,-20.7377,116.8463,69.03,5.95
barrow,90,US,1627242319,87,71.2906,-156.7887,44.62,10.36
hervey bay,3,AU,1627242319,62,-25.2986,152.8535,51.04,11.79
mabaruma,100,GY,1627242319,98,8.2,-59.7833,73.78,2.44
punta arenas,0,CL,1627242319,60,-53.15,-70.9167,41.11,14.97
ushuaia,75,AR,1627242320,87,-54.8,-68.3,35.26,25.32
mar del plata,90,AR,1627242320,58,-38.0023,-57.5575,55.42,5.99
arraial do cabo,0,BR,1627242321,64,-22.9661,-42.0278,75.16,21.85
vostok,100,RU,1627242321,87,46.4856,135.8833,66.11,3.4
la ronge,75,CA,1627242321,59,55.1001,-105.2842,66.45,3.44
laguna,1,US,1627242321,35,38.421,-121.4238,106.43,5.75
nanortalik,100,GL,1627242322,73,60.1432,-45.2371,45.12,13.76
teguldet,100,RU,1627242322,73,57.3064,88.1667,63.61,3.31
kartal,79,HU,1627242322,79,47.6713,19.542,79.18,3.22
nikolskoye,24,RU,1627242323,70,59.7035,30.7861,67.89,2.53
butaritari,92,KI,1627242305,74,3.0707,172.7902,82.08,11.12
aksarayskiy,9,RU,1627242323,31,46.7924,48.0119,76.98,6.49
puerto ayora,35,EC,1627242323,83,-0.7393,-90.3518,80.56,11.99
okoneshnikovo,25,RU,1627242324,93,54.8377,75.0834,63.12,15.26
busselton,8,AU,1627242278,65,-33.65,115.3333,58.08,20.58
bluff,100,NZ,1627242324,87,-46.6,168.3333,46.8,4.81
hithadhoo,87,MV,1627242324,75,-0.6,73.0833,80.6,4.0
amapa,98,BR,1627242325,83,1.0,-52.0,81.27,2.19
monster,75,NL,1627242325,80,52.0258,4.175,69.96,1.01
edgewater,75,US,1627242325,83,28.9889,-80.9023,91.0,10.36
saint-philippe,36,RE,1627242325,77,-21.3585,55.7679,69.35,11.92
rundu,0,NA,1627242326,49,-17.9333,19.7667,55.63,7.18
sokolovo,10,RU,1627242326,75,52.5318,84.7896,65.37,5.88
bubaque,100,GW,1627242326,81,11.2833,-15.8333,79.41,9.55
mindelo,20,CV,1627242327,61,16.8901,-24.9804,78.35,17.27
naze,100,JP,1627242327,88,28.3667,129.4833,77.86,16.15
koungou,0,YT,1627242327,65,-12.7336,45.2042,76.71,13.8
mazatlan,50,MX,1627242328,81,23.2167,-106.4167,87.91,8.01
norman wells,40,CA,1627242328,43,65.282,-126.8329,69.84,5.75
mataura,100,NZ,1627242274,92,-46.1927,168.8643,46.47,3.38
saint-francois,0,FR,1627242328,64,46.4154,3.9054,69.24,5.75
thompson,40,CA,1627242329,44,55.7435,-97.8558,60.96,12.66
port lincoln,100,AU,1627242142,82,-34.7333,135.8667,55.89,18.57
rikitea,38,PF,1627242329,67,-23.1203,-134.9692,70.65,6.42
lebu,39,CL,1627242329,88,-37.6167,-73.65,52.11,12.1
clyde river,90,CA,1627242329,100,70.4692,-68.5914,35.83,8.05
port moresby,75,PG,1627242330,94,-9.4431,147.1797,71.02,6.91
vila velha,20,BR,1627242330,53,-20.3297,-40.2925,77.97,10.36
avarua,75,CK,1627242330,94,-21.2078,-159.775,73.45,2.3
faanui,0,PF,1627242331,66,-16.4833,-151.75,78.01,12.86
mitchell,1,US,1627242049,40,43.7094,-98.0298,91.38,16.11
tiksi,100,RU,1627242331,81,71.6872,128.8694,48.25,6.38
saskylakh,85,RU,1627242115,68,71.9167,114.0833,55.15,13.8
bireun,100,ID,1627242331,82,5.203,96.7009,78.85,4.0
hermanus,100,ZA,1627242332,53,-34.4187,19.2345,63.9,9.73
port elizabeth,40,ZA,1627242295,87,-33.918,25.5701,50.29,3.44
east london,4,ZA,1627242332,46,-33.0153,27.9116,59.49,7.78
pangnirtung,90,CA,1627242332,100,66.1451,-65.7125,46.4,2.3
santarem,20,BR,1627242333,62,-2.4431,-54.7083,89.73,9.22
geraldton,0,AU,1627242333,93,-28.7667,114.6,46.81,12.66
matara,99,LK,1627242333,86,5.9485,80.5353,77.97,10.85
chuy,1,UY,1627242334,85,-33.6971,-53.4616,66.07,5.59
upernavik,12,GL,1627242334,81,72.7868,-56.1549,41.25,13.24
tasiilaq,50,GL,1627242083,85,65.6145,-37.6368,46.56,5.26
jalu,0,LY,1627242334,25,29.0331,21.5482,86.72,9.66
belaya gora,8,RU,1627242335,57,68.5333,146.4167,48.31,12.33
cayenne,75,GF,1627242039,90,4.9333,-52.3333,78.84,1.01
kota belud,48,MY,1627242335,79,6.351,116.4305,80.46,4.68
sorland,98,NO,1627242290,84,67.667,12.6934,51.87,6.38
bulgan,55,MN,1627242335,79,48.8125,103.5347,54.9,5.19
cabo san lucas,4,MX,1627242336,68,22.8909,-109.9124,98.51,8.59
bonavista,23,CA,1627242336,84,48.6499,-53.1147,64.4,12.08
kaitangata,100,NZ,1627242327,67,-46.2817,169.8464,48.92,3.02
nago,100,JP,1627242337,93,26.5881,127.9761,81.03,11.9
chapais,91,CA,1627242337,50,49.7834,-74.8492,65.98,8.93
talnakh,100,RU,1627242337,93,69.4865,88.3972,55.8,4.88
singaraja,17,ID,1627242337,70,-8.112,115.0882,75.38,2.62
qaanaaq,80,GL,1627242304,71,77.484,-69.3632,40.53,5.68
seoul,0,KR,1627242057,69,37.5683,126.9778,81.97,9.22
vila franca do campo,44,PT,1627242338,83,37.7167,-25.4333,72.01,7.27
broome,75,US,1627242338,66,42.2506,-75.833,85.69,1.01
torbay,75,CA,1627242338,86,47.6666,-52.7314,64.76,9.22
muros,7,ES,1627242320,69,42.7762,-9.0603,70.68,10.18
villarrica,9,PY,1627242339,29,-25.75,-56.4333,89.65,6.69
tautira,0,PF,1627242339,69,-17.7333,-149.15,80.62,10.42
kapaa,75,US,1627242339,80,22.0752,-159.319,82.72,3.0
hualmay,21,PE,1627242326,73,-11.0964,-77.6139,67.44,9.26
katsuura,56,JP,1627242340,83,35.1333,140.3,80.11,12.08
saint anthony,1,US,1627242340,25,45.0205,-93.218,93.29,3.0
yellowknife,40,CA,1627242340,51,62.456,-114.3525,62.33,1.01
maneadero,100,MX,1627242086,85,31.7167,-116.5667,76.19,1.01
khatanga,43,RU,1627242291,87,71.9667,102.5,48.83,6.46
ancud,33,CL,1627242341,60,-41.8697,-73.8203,49.53,10.54
kavieng,93,PG,1627242341,76,-2.5744,150.7967,81.0,3.51
esperance,2,AU,1627242341,86,-33.8667,121.9,51.64,17.6
mehamn,75,NO,1627242342,81,71.0357,27.8492,46.58,16.11
longyearbyen,75,SJ,1627242060,87,78.2186,15.6401,44.44,10.36
hobart,40,AU,1627242302,71,-42.8794,147.3294,44.02,4.0
cockburn town,40,TC,1627242163,70,21.4612,-71.1419,85.96,9.22
ponta do sol,1,PT,1627242342,80,32.6667,-17.1,79.0,4.38
inverness,20,GB,1627242282,88,57.4791,-4.224,64.98,9.22
flagstaff,20,US,1627242070,63,35.1981,-111.6513,74.55,8.99
inverell,0,AU,1627242343,78,-29.7833,151.1167,37.17,1.01
high rock,100,BS,1627242343,73,26.6208,-78.2833,86.02,11.01
sibi,2,PK,1627242248,24,29.5448,67.8764,105.4,8.61
lagoa,100,PT,1627242330,77,39.05,-27.9833,70.23,12.28
prado,9,BR,1627242343,73,-17.3411,-39.2208,71.96,9.19
satinka,61,RU,1627242343,57,52.3792,41.6819,63.1,4.45
kirkwall,8,GB,1627242344,94,58.9848,-2.9587,59.34,6.91
liverpool,0,GB,1627242316,74,53.4106,-2.9779,69.46,3.0
fortuna,1,US,1627242310,82,40.5982,-124.1573,91.42,12.66
kahului,40,US,1627242344,84,20.8947,-156.47,83.46,16.11
peniche,17,PT,1627242069,90,39.3558,-9.3811,71.73,10.04
asosa,100,ET,1627242345,98,10.0667,34.5333,59.02,2.28
cape town,0,ZA,1627242345,58,-33.9258,18.4232,64.11,3.44
kinango,0,KE,1627242345,82,-4.1372,39.3153,73.51,6.49
san vicente,25,AR,1627242345,37,-26.6167,-54.1333,78.44,5.32
jaciara,10,BR,1627242346,19,-15.9653,-54.9683,92.75,6.04
falmouth,11,GB,1627242346,92,50.1544,-5.0711,66.78,1.99
hasaki,10,JP,1627242346,79,35.7333,140.8333,75.6,15.75
saint-pierre,0,RE,1627242347,68,-21.3393,55.4781,69.44,9.22
mount isa,15,AU,1627242347,46,-20.7333,139.5,49.77,6.91
bengkulu,2,ID,1627242091,86,-3.8004,102.2655,74.48,5.41
makakilo city,40,US,1627242347,68,21.3469,-158.0858,84.52,10.36
corowa,100,AU,1627242348,97,-36.0333,146.3833,50.32,7.47
castro,2,BR,1627242092,61,-24.7911,-50.0119,65.03,3.85
krasnoarmeysk,3,RU,1627242348,61,51.0239,45.6969,68.29,3.27
kishtwar,100,IN,1627242348,96,33.3167,75.7667,73.2,2.13
ulagan,34,RU,1627242349,92,50.6321,87.9563,54.88,0.78
ilulissat,75,GL,1627242349,35,69.2167,-51.1,55.42,13.8
kiruna,20,SE,1627242349,82,67.8557,20.2251,56.32,3.44
husavik,100,IS,1627242349,64,66.0449,-17.3389,58.91,6.26
grindavik,90,IS,1627242350,87,63.8424,-22.4338,50.56,28.77
sao filipe,77,CV,1627242350,75,14.8961,-24.4956,74.35,9.51
uyovu,64,TZ,1627242350,37,-3.2833,31.5258,69.42,6.58
airai,76,TL,1627242351,52,-8.9266,125.4092,55.85,3.22
tocopilla,100,CL,1627242351,71,-22.092,-70.1979,63.86,9.8
riyadh,0,SA,1627242261,15,24.6877,46.7219,98.74,6.76
zharkovskiy,9,RU,1627242351,70,55.849,32.2697,60.53,2.48
pevek,100,RU,1627242306,91,69.7008,170.3133,34.88,8.63
sialkot,40,PK,1627242352,75,32.5101,74.5431,91.22,4.61
georgetown,20,MY,1627242352,90,5.4112,100.3354,83.89,0.0
axim,62,GH,1627242352,77,4.8699,-2.2405,75.99,7.72
hambantota,99,LK,1627242353,79,6.1241,81.1185,79.92,17.69
hamilton,40,US,1627242196,67,39.1834,-84.5333,91.22,3.0
codrington,73,AU,1627242353,94,-38.2667,141.9667,50.04,14.32
los llanos de aridane,20,ES,1627242353,78,28.6585,-17.9182,69.55,14.97
vestmannaeyjar,75,IS,1627242353,87,63.4427,-20.2734,52.79,20.71
qaqortoq,60,GL,1627242354,66,60.7167,-46.0333,59.5,5.82
touros,7,BR,1627242354,73,-5.1989,-35.4608,83.3,14.94
udachnyy,21,RU,1627242354,57,66.4167,112.4,69.94,9.01
poum,1,NC,1627242355,78,-20.2333,164.0167,72.32,17.25
lavrentiya,100,RU,1627242355,99,65.5833,-171.0,44.42,3.76
kota bahru,20,MY,1627242355,94,6.1333,102.2386,80.55,0.0
lata,57,PT,1627242356,96,40.1629,-8.3327,73.04,4.88
key west,75,US,1627242088,70,24.5557,-81.7826,89.6,6.91
tual,56,ID,1627242356,79,-5.6667,132.75,79.81,18.77
tank,0,PK,1627242356,32,32.2217,70.3793,101.93,2.91
mildmay,0,CA,1627242316,59,44.0501,-81.1164,82.35,3.0
tuktoyaktuk,90,CA,1627242357,100,69.4541,-133.0374,48.2,10.36
anadyr,90,RU,1627242357,100,64.75,177.4833,52.3,5.99
kamalpur,100,IN,1627242357,98,24.2,91.8333,76.44,3.51
grootfontein,0,NA,1627242358,47,-19.5667,18.1167,53.17,3.44
bathsheba,40,BB,1627242358,70,13.2167,-59.5167,86.61,14.97
